"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"KOR","Korea","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2020","2020",166716,,
"KOR","Korea","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2021","2021",4130,,
"KOR","Korea","USA","United States","DEMAND","Tourism demand surveys","2019","2019",1044038,,
"KOR","Korea","USA","United States","DEMAND","Tourism demand surveys","2020","2020",220417,,
"KOR","Korea","USA","United States","DEMAND","Tourism demand surveys","2021","2021",204025,,
"MEX","Mexico","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",97406037,,
"MEX","Mexico","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",51128042,,
"MEX","Mexico","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",55301421,,
"MEX","Mexico","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2019","2019",45024453,,
"MEX","Mexico","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2020","2020",24283536,,
"MEX","Mexico","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2021","2021",31860392,,
"MEX","Mexico","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2019","2019",52381584,,
"MEX","Mexico","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2020","2020",26844506,,
"MEX","Mexico","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2021","2021",23441029,,
"MEX","Mexico","CAN","Canada","DEMAND","Tourism demand surveys","2019","2019",2309528,,
"MEX","Mexico","CAN","Canada","DEMAND","Tourism demand surveys","2020","2020",975697,,
"MEX","Mexico","CAN","Canada","DEMAND","Tourism demand surveys","2021","2021",503589,,
"MEX","Mexico","ESP","Spain","DEMAND","Tourism demand surveys","2019","2019",391738,,
"MEX","Mexico","ESP","Spain","DEMAND","Tourism demand surveys","2020","2020",100023,,
"MEX","Mexico","ESP","Spain","DEMAND","Tourism demand surveys","2021","2021",221225,,
"MEX","Mexico","FRA","France","DEMAND","Tourism demand surveys","2019","2019",305384,,
"MEX","Mexico","FRA","France","DEMAND","Tourism demand surveys","2020","2020",116008,,
"MEX","Mexico","FRA","France","DEMAND","Tourism demand surveys","2021","2021",157082,,
"MEX","Mexico","GBR","United Kingdom","DEMAND","Tourism demand surveys","2019","2019",581245,,
"MEX","Mexico","GBR","United Kingdom","DEMAND","Tourism demand surveys","2020","2020",103889,,
"MEX","Mexico","GBR","United Kingdom","DEMAND","Tourism demand surveys","2021","2021",125380,,
"MEX","Mexico","USA","United States","DEMAND","Tourism demand surveys","2019","2019",10511433,,
"MEX","Mexico","USA","United States","DEMAND","Tourism demand surveys","2020","2020",5151181,,
"MEX","Mexico","USA","United States","DEMAND","Tourism demand surveys","2021","2021",10239989,,
"MEX","Mexico","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2019","2019",97151304,,
"MEX","Mexico","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2020","2020",43613734,,
"USA","United States","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",165477034,,
"USA","United States","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",53556920,,
"USA","United States","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",46344402,"P","Provisional value"
"USA","United States","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2019","2019",79441595,,
"USA","United States","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2020","2020",19212014,,
"USA","United States","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2021","2021",22100453,"P","Provisional value"
"USA","United States","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2019","2019",86035439,,
"USA","United States","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2020","2020",34344906,,
"USA","United States","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2021","2021",24243949,"P","Provisional value"
"USA","United States","CAN","Canada","DEMAND","Tourism demand surveys","2019","2019",20720068,,
"USA","United States","CAN","Canada","DEMAND","Tourism demand surveys","2020","2020",4808888,"E","Estimated value"
"USA","United States","CAN","Canada","DEMAND","Tourism demand surveys","2021","2021",2331000,"P","Provisional value"
"USA","United States","GBR","United Kingdom","DEMAND","Tourism demand surveys","2019","2019",4779997,,
"USA","United States","GBR","United Kingdom","DEMAND","Tourism demand surveys","2020","2020",730032,,
"USA","United States","GBR","United Kingdom","DEMAND","Tourism demand surveys","2021","2021",460749,"F","Forecast value"
"USA","United States","MEX","Mexico","DEMAND","Tourism demand surveys","2019","2019",18328181,,
"USA","United States","MEX","Mexico","DEMAND","Tourism demand surveys","2020","2020",7041891,"E","Estimated value"
"USA","United States","MEX","Mexico","DEMAND","Tourism demand surveys","2021","2021",9700000,"P","Provisional value"
"USA","United States","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2019","2019",411164251,,
"USA","United States","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2020","2020",95783466,"P","Provisional value"
"USA","United States","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","DEMAND","Tourism demand surveys","2021","2021",95783466,,
"USA","United States","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2019","2019",215359137,,
"USA","United States","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2020","2020",38764645,"P","Provisional value"
"USA","United States","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","DEMAND","Tourism demand surveys","2021","2021",38764645,,
"USA","United States","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2019","2019",17227134,,
"USA","United States","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2020","2020",3445427,"P","Provisional value"
"USA","United States","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","DEMAND","Tourism demand surveys","2021","2021",3445427,,
"USA","United States","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2019","2019",178577981,,
"USA","United States","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2020","2020",53573394,"P","Provisional value"
"USA","United States","INB_ACCOMM_PRIVATE_NIGHTS","Private accommodation","DEMAND","Tourism demand surveys","2021","2021",53573394,,
"BRA","Brazil","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2019","2019",6353141,,
"BRA","Brazil","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2020","2020",2146435,,
"BRA","Brazil","ARG","Argentina","DEMAND","Tourism demand surveys","2019","2019",1954725,,
"BRA","Brazil","ARG","Argentina","DEMAND","Tourism demand surveys","2020","2020",887805,,
